abscisa (m);cota cauce (m);cota agua (m)
0.00;100.11;False
0.00;99.50;False
7.00;99.41;False
7.00;99.41;False
24.00;99.66;False
25.20;99.48;False
26.20;97.86;False
28.00;96.76;True
40.00;93.32;False
52.00;93.51;False
64.00;93.60;False
76.00;93.68;False
94.00;93.36;False
106.00;93.32;False
118.00;93.27;False
130.00;92.98;False
142.00;93.25;False
154.00;92.85;False
166.00;92.57;False
178.00;93.10;False
190.00;93.16;False
202.00;93.25;False
214.00;92.84;False
226.00;93.31;False
238.00;93.58;False
250.00;93.97;False
252.00;96.76;True
272.00;99.70;False
302.00;100.06;False
332.00;100.35;False
347.00;100.89;False
